brand,jenis_mobil,tahun_kendaraan,warna,transmisi,kilometer,mesin_enginecc,bahan_bakar,dirakit,penumpang,pintu,harga
Tesla,Sedan,2014,Biru,Automatic,12500,0,Electric,Complete Built Up (CBU),5,4,1250000000
Hyundai,Wagon,2023,Hitam,Automatic,3601,0,Electric,Complete Knock Down (CKD),5,5,680000000
Wuling,Hatchback,2022,Putih,Automatic,9000,0,Electric,Complete Knock Down (CKD),4,3,195000000
Wuling,Hatchback,2023,Lainnya,Automatic,800,0,Electric,Complete Knock Down (CKD),4,3,204900000
Wuling,Hatchback,2022,Lainnya,Automatic,11000,0,Electric,Complete Knock Down (CKD),4,3,212000000
BMW,Wagon,2023,Biru,Automatic,1600,0,Electric,Complete Built Up (CBU),5,5,1800000000
BMW,Wagon,2023,Abu-abu,Automatic,3200,0,Electric,Complete Built Up (CBU),5,5,1800000000
BMW,Wagon,2023,Marun,Automatic,2000,0,Electric,Complete Built Up (CBU),5,5,1750000000
BMW,Wagon,2023,Hitam,Automatic,3000,0,Electric,Complete Built Up (CBU),5,5,1979000000
BMW,Wagon,2023,Hitam,Automatic,7000,0,Electric,Complete Built Up (CBU),5,5,1750000000
Mercedes-Benz,Sedan,2023,Hitam,Automatic,2500,0,Electric,Complete Built Up (CBU),5,4,1900000000
Wuling,Hatchback,2022,Putih,Automatic,27500,0,Electric,Complete Knock Down (CKD),4,3,195000000
Wuling,Hatchback,2022,Putih,Automatic,12500,0,Electric,Complete Knock Down (CKD),4,3,184500000
Wuling,Hatchback,2023,Lainnya,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,220000000
Porsche,Coupe,2021,Merah,Automatic,2500,0,Electric,Complete Built Up (CBU),4,4,2950000000
Hyundai,Sedan,2023,Putih,Automatic,7500,0,Electric,Complete Built Up (CBU),5,4,1050000000
BMW,Wagon,2023,Hitam,Automatic,2500,0,Electric,Complete Built Up (CBU),5,5,1850000000
Wuling,Hatchback,2022,Biru,Automatic,19000,0,Electric,Complete Knock Down (CKD),4,3,200000000
BMW,Wagon,2023,Putih,Automatic,2500,0,Electric,Complete Built Up (CBU),5,5,1850000000
BMW,Wagon,2023,Abu-abu,Automatic,2500,0,Electric,Complete Built Up (CBU),5,5,1850000000
BMW,Wagon,2023,Hitam,Automatic,2500,0,Electric,Complete Built Up (CBU),5,5,1700000000
Wuling,Hatchback,2023,Kuning,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,220000000
Hyundai,Wagon,2022,Putih,Automatic,17000,0,Electric,Complete Knock Down (CKD),5,5,635000000
Wuling,Hatchback,2022,Hijau,Automatic,725,0,Electric,Complete Knock Down (CKD),4,3,233000000
BMW,Wagon,2023,Merah,Automatic,2500,0,Electric,Complete Built Up (CBU),5,5,1750000000
Hyundai,Fastback,2021,Hitam,Automatic,37500,0,Electric,Complete Built Up (CBU),5,5,550000000
Hyundai,Wagon,2021,Hitam,Automatic,32500,0,Electric,Complete Built Up (CBU),5,5,395000000
Porsche,Sedan,2021,Putih,Automatic,7500,0,Electric,Complete Built Up (CBU),4,4,3450000000
Wuling,Hatchback,2023,Putih,Automatic,1000,0,Electric,Complete Knock Down (CKD),4,3,240000000
Wuling,Hatchback,2023,Hijau,Automatic,17500,0,Electric,Complete Knock Down (CKD),4,3,250000000
Chery,Wagon,2024,Putih,Automatic,2500,0,Electric,Complete Knock Down (CKD),5,5,499000000
Wuling,Hatchback,2022,Biru,Automatic,7500,0,Electric,Complete Knock Down (CKD),4,3,220000000
Tesla,Wagon,2019,Hitam,Automatic,7500,0,Electric,Complete Built Up (CBU),5,5,2650000000
